,unnamed: 0,age,joblevel,housingtype,savingaccounts,checkingaccount,creditamount,creditduration,creditpurpose,worklifebalance,risk
247,247,35,2,2,2,0,1204,6,1,1,1
359,359,23,2,2,1,1,2406,30,4,2,0
59,59,23,1,2,1,1,6229,36,4,1,0
271,271,37,2,2,3,0,1402,12,4,2,1
85,85,29,3,1,1,0,1412,12,0,2,1
782,782,31,1,1,1,2,1410,12,3,0,1
319,319,27,1,1,1,1,3643,15,4,1,1
239,239,39,2,1,1,1,2522,30,5,1,1
285,285,35,1,1,1,1,10722,47,1,0,1
22,22,48,1,2,1,1,2241,10,1,0,1
21,21,44,2,2,3,1,2647,6,5,1,1
451,451,29,2,1,1,0,518,6,5,1,1
229,229,22,2,0,1,1,3149,24,4,1,1
928,928,58,2,1,0,0,1867,30,5,0,1
825,825,30,2,1,1,1,1602,21,1,2,1
150,150,42,2,0,2,0,1346,6,5,2,1
458,458,27,2,1,1,1,343,6,2,1,1
191,191,34,1,0,2,2,3844,48,0,0,0
45,45,35,3,1,1,0,1393,11,1,1,1
698,698,24,2,1,1,0,1800,18,5,1,1
309,309,22,1,2,1,2,276,9,1,1,1
149,149,46,2,1,4,0,1582,18,5,1,1
854,854,45,2,1,1,0,10875,36,1,2,1
224,224,30,2,1,1,0,4657,15,1,1,1
8,8,61,1,1,4,0,3059,12,5,0,1
298,298,43,2,1,1,0,2515,18,4,2,1
568,568,41,2,1,0,2,3979,48,5,0,1
865,865,20,2,2,3,0,2221,15,4,1,1
823,823,47,1,1,1,1,731,8,1,0,1
187,187,68,0,0,1,2,1175,16,1,1,1
699,699,40,3,2,1,3,1905,15,3,0,1
709,709,37,1,1,1,2,2118,9,5,1,1
328,328,31,2,1,1,3,4473,36,5,2,1
900,900,43,2,2,1,1,2625,16,1,0,0
608,608,33,2,1,1,0,2051,18,5,1,1
349,349,32,2,0,4,2,1136,9,3,2,0
400,400,39,2,1,1,0,1473,18,5,1,1
40,40,30,3,1,3,0,2333,30,5,1,1
96,96,61,2,1,0,0,2012,12,3,2,1
243,243,27,2,1,1,0,1185,12,0,1,1
593,593,20,1,2,1,2,2718,24,1,1,0
422,422,47,1,1,1,2,958,12,1,1,1
398,398,46,2,2,1,2,1223,12,1,0,0
586,586,36,2,2,1,1,2799,9,1,2,1
181,181,30,3,1,1,2,4455,36,0,1,0
322,322,34,3,0,1,1,2910,24,1,0,1
124,124,27,2,2,0,2,1924,18,4,1,0
702,702,47,2,0,2,3,1377,24,5,0,1
88,88,30,3,1,2,1,2249,18,1,0,1
3,3,45,2,0,1,1,7882,42,4,1,1
41,41,26,2,1,3,2,1158,12,5,0,1
724,724,21,2,2,1,0,2570,27,1,1,0
644,644,32,3,1,1,1,1880,18,5,1,1
888,888,34,3,1,1,0,6614,36,1,0,1
462,462,34,3,2,1,2,3017,12,4,2,1
279,279,29,3,2,2,0,1901,24,5,0,1
819,819,26,2,1,1,1,1345,18,5,1,0
111,111,23,2,2,1,3,392,15,3,1,1
300,300,54,0,1,1,0,672,6,1,1,1
852,852,35,2,0,1,0,1471,15,5,1,1
327,327,34,2,1,4,0,1525,24,1,1,1
921,921,37,3,1,3,0,12749,48,5,2,1
623,623,22,2,2,1,1,1858,12,4,1,1
415,415,35,2,1,1,0,5842,36,1,2,1
916,916,32,2,1,2,0,2848,10,1,0,1
419,419,33,2,1,0,2,1042,18,1,1,0
582,582,26,2,2,1,0,1388,9,4,1,1
75,75,66,3,0,1,1,1526,12,1,2,1
920,920,28,2,1,1,0,1817,18,4,1,1
113,113,25,2,1,1,0,7855,36,1,1,0
739,739,26,1,2,2,2,4280,30,0,1,0
734,734,37,2,1,1,0,3380,4,1,1,1
529,529,41,1,1,1,1,662,6,1,1,1
995,995,31,1,1,1,0,1736,12,4,0,1
174,174,26,2,1,1,1,3414,21,3,2,0
820,820,27,2,1,1,0,1101,12,1,2,1
363,363,21,2,2,1,0,1766,6,4,1,1
377,377,36,2,0,0,0,846,7,5,1,1
601,601,30,2,1,1,2,918,9,4,2,0
794,794,32,2,2,3,0,3062,24,4,2,1
62,62,61,3,0,1,2,1953,36,0,0,0
906,906,24,1,1,0,1,3763,21,1,1,1
343,343,33,3,1,1,2,4439,18,0,0,1
731,731,21,1,2,1,1,1987,24,5,1,0
899,899,42,2,1,1,1,4153,18,4,1,0
423,423,34,3,1,2,0,1591,21,4,1,1
72,72,51,3,0,1,1,1164,8,7,2,1
708,708,25,2,1,1,2,1206,9,5,2,1
121,121,41,3,2,1,0,3868,24,1,2,1
569,569,31,2,1,1,1,6758,48,5,1,0
719,719,31,2,1,2,2,6148,20,1,1,1
565,565,23,2,2,2,2,1553,24,5,1,1
733,733,28,2,2,4,0,2603,24,1,0,1
537,537,37,2,1,1,2,3612,18,4,1,1
879,879,36,2,1,0,0,6742,30,5,1,1
953,953,26,3,1,1,0,10974,36,4,1,0
960,960,30,2,2,1,0,1740,6,5,1,1
303,303,49,2,1,1,1,1038,10,1,1,1
417,417,23,2,2,0,1,8471,18,3,0,1
905,905,20,3,2,1,1,1107,12,5,1,1
353,353,28,2,2,1,1,6199,12,5,1,0
490,490,26,2,1,1,0,1934,12,5,0,1
955,955,57,3,2,4,1,1231,24,5,0,1
492,492,27,2,1,2,0,1237,6,5,0,1
163,163,70,3,0,1,2,7308,10,1,1,1
290,290,26,2,1,1,0,1076,12,0,2,1
226,226,27,2,1,4,2,10961,48,5,0,0
761,761,24,2,2,1,1,2124,18,4,2,0
161,161,30,2,1,1,0,1055,18,1,0,1
203,203,21,2,2,1,1,902,12,3,0,0
945,945,30,2,1,3,2,8358,48,1,1,1
249,249,22,2,2,1,0,433,18,5,1,0
681,681,37,2,0,0,0,2279,12,5,1,1
277,277,49,1,1,0,1,1262,12,4,2,1
701,701,46,2,0,1,1,6331,48,1,0,0
74,74,40,3,1,0,1,1977,36,3,1,0
223,223,32,2,1,0,0,2978,24,0,2,1
384,384,26,1,1,2,0,4272,30,0,1,1
503,503,38,2,1,2,2,1216,24,5,1,0
182,182,40,1,1,0,1,1647,21,1,2,0
712,712,46,3,1,0,0,2476,21,1,2,1
889,889,40,2,2,0,0,7824,28,1,2,1
775,775,25,2,2,0,1,1371,24,1,0,0
180,180,28,2,1,1,0,9572,36,0,1,0
132,132,27,1,1,1,0,2708,15,4,2,1
399,399,43,1,1,4,0,1516,24,5,1,1
766,766,31,1,1,1,1,3108,30,4,2,0
39,39,24,2,1,1,2,458,9,5,0,1
73,73,41,1,1,1,2,5954,42,0,2,1
558,558,27,2,1,1,1,3552,24,4,2,0
729,729,36,2,1,4,3,1275,24,0,1,1
338,338,28,2,1,1,1,4169,24,4,2,1
685,685,34,2,0,0,0,6527,60,1,0,1
613,613,22,2,2,1,1,3632,24,1,1,1
689,689,31,2,1,4,1,3651,12,1,0,1
98,98,36,2,1,1,2,2337,36,5,2,1
30,30,36,2,1,4,2,1913,18,0,1,1
173,173,33,2,1,1,2,1414,8,5,1,1
838,838,63,2,1,1,1,2957,24,1,1,1
982,982,28,3,1,2,3,2923,21,1,0,1
296,296,20,2,2,0,0,4675,12,1,2,1
20,20,48,2,1,1,0,2134,9,1,1,1
913,913,28,2,1,4,0,2142,11,0,1,1
535,535,33,2,2,1,3,2319,21,3,2,0
926,926,21,2,2,1,1,1049,18,4,2,1
409,409,28,2,1,3,3,939,12,1,0,0
846,846,68,2,2,0,0,6761,18,1,1,0
479,479,44,2,1,1,1,1478,15,4,1,1
107,107,32,2,1,1,2,6078,12,1,2,1
82,82,24,1,2,2,0,1568,18,0,2,1
883,883,65,0,1,1,0,1098,18,5,2,1
118,118,23,2,1,3,1,4281,33,4,0,0
679,679,26,2,1,1,0,1453,18,5,0,1
527,527,42,1,1,1,0,1503,4,5,0,1
509,509,45,3,1,2,0,8588,39,1,1,1
844,844,47,2,1,1,0,3422,18,4,0,1
987,987,64,2,1,2,0,1409,13,5,1,1
867,867,42,2,1,1,0,3331,12,4,1,1
851,851,43,2,1,0,0,4042,24,1,1,1
329,329,28,2,1,1,2,1068,6,5,1,1
361,361,37,3,1,0,3,3399,12,5,2,1
842,842,23,2,1,1,0,1943,18,6,1,0
571,571,38,2,1,1,0,5954,30,5,1,1
936,936,28,1,1,1,3,745,9,5,2,0
93,93,20,2,2,0,3,3617,24,4,1,1
620,620,27,2,1,1,2,3652,21,0,2,1
751,751,23,1,1,1,1,976,18,1,0,0
958,958,45,1,1,1,1,4006,28,1,0,0
95,95,58,2,2,1,2,15945,54,0,1,0
335,335,44,3,2,1,1,3384,6,4,1,0
200,200,52,2,1,3,0,936,9,3,2,1
278,278,32,2,1,1,0,4611,6,4,2,0
108,108,30,2,1,0,1,7721,24,4,2,1
861,861,28,2,1,1,0,2169,18,0,0,0
778,778,38,3,1,4,0,5711,36,1,1,1
610,610,22,2,1,2,1,741,12,2,1,0
673,673,24,2,1,3,0,2080,6,1,1,1
910,910,34,2,1,1,0,4454,36,5,1,1
35,35,25,1,1,1,2,4746,45,5,2,0
988,988,29,3,0,1,1,6579,24,1,1,1
651,651,37,1,1,1,2,1922,12,4,1,0
662,662,50,2,1,1,0,2241,21,4,1,1
11,11,24,2,2,1,1,4308,48,0,0,0
716,716,40,2,1,0,0,3077,30,5,1,1
530,530,32,2,1,1,2,2273,36,3,1,1
184,184,36,2,1,1,2,884,18,1,2,0
773,773,52,2,1,2,0,2223,24,5,2,1
547,547,32,2,1,1,0,1552,24,5,1,1
758,758,31,2,1,1,0,1393,24,1,1,1
228,228,22,2,1,1,0,1478,9,5,0,0
822,822,41,2,1,1,1,2712,36,4,2,0
457,457,35,2,0,1,1,3386,12,1,2,0
639,639,26,2,1,1,1,4370,42,5,1,0
236,236,23,0,1,0,2,14555,6,1,0,0
144,144,23,2,1,1,0,2288,21,4,1,1
189,189,33,2,1,1,2,3244,18,4,0,1
362,362,36,2,1,1,3,2247,12,1,2,1
697,697,38,0,1,1,0,926,12,1,1,1
805,805,24,2,1,1,1,9271,36,1,1,0
862,862,35,2,1,1,1,2439,24,5,2,0
997,997,38,2,1,1,0,804,12,5,2,1
518,518,43,2,1,2,1,1203,6,1,1,1
324,324,36,2,1,1,0,1028,18,1,1,1
366,366,27,2,1,1,0,3850,18,1,0,1
648,648,38,2,0,1,3,947,24,1,2,0
286,286,26,2,1,1,1,4788,48,1,1,1
316,316,38,1,1,1,1,708,12,4,2,1
880,880,38,3,1,1,0,7814,24,1,0,1
873,873,24,2,1,0,0,874,15,2,1,1
552,552,34,2,1,1,1,6999,48,5,2,0
964,964,22,1,1,1,2,454,6,6,0,1
901,901,44,2,1,0,0,3485,20,1,1,1
463,463,38,2,1,0,2,754,12,3,2,1
470,470,22,2,2,2,2,3092,24,5,2,0
295,295,26,2,1,1,2,9960,48,4,0,0
911,911,25,1,1,1,2,4736,24,4,1,0
17,17,25,2,1,0,1,8072,30,0,0,1
647,647,26,2,1,3,0,1386,12,1,2,0
201,201,27,1,1,1,1,1168,12,1,1,1
999,999,27,2,1,2,2,4576,45,1,1,1
116,116,30,3,1,0,1,7174,42,5,1,0
484,484,44,2,1,3,0,1163,12,1,1,1
536,536,75,3,1,0,1,1374,6,1,1,1
704,704,32,2,1,1,2,2528,27,0,0,1
677,677,24,2,1,2,2,5595,72,5,0,0
587,587,21,1,1,1,1,1289,12,4,1,1
308,308,24,2,1,1,2,1237,8,4,2,0
265,265,37,2,1,1,2,802,15,5,1,0
63,63,25,2,1,1,2,14421,48,0,1,0
193,193,29,2,2,1,0,2108,6,5,0,1
573,573,22,1,1,1,1,806,15,0,0,1
33,33,57,1,2,0,0,1264,12,0,1,1
663,663,35,3,1,1,2,1050,6,4,1,1
523,523,23,2,1,2,0,3488,24,1,0,1
156,156,48,2,1,2,1,1288,9,6,1,1
700,700,29,1,2,3,0,1123,12,4,1,0
878,878,27,3,0,1,1,1422,9,1,2,0
274,274,34,1,1,1,1,11998,30,6,0,0
874,874,29,1,1,1,1,3590,12,4,1,1
740,740,32,2,1,2,1,2325,24,1,1,1
202,202,26,2,1,1,0,5117,27,0,2,1
405,405,22,2,1,1,2,2039,24,5,2,0
575,575,24,2,1,1,0,2788,15,4,1,1
135,135,38,2,1,0,0,1240,12,5,2,1
106,106,39,3,1,1,0,6458,18,1,1,0
346,346,23,2,1,1,2,882,13,5,0,1
427,427,46,2,1,4,0,1149,18,5,1,1
435,435,25,2,1,0,2,1484,12,5,1,0
5,5,35,1,0,0,0,9055,36,3,1,1
559,559,31,1,1,1,2,1928,18,4,1,0
448,448,55,3,1,0,3,1424,12,4,1,1
567,567,34,2,1,4,0,2578,24,5,0,1
981,981,33,3,2,1,0,4844,48,0,1,0
912,912,25,2,1,0,2,2991,30,5,2,1
797,797,22,1,2,1,0,1258,12,4,1,1
922,922,22,2,2,1,1,1366,9,5,1,0
828,828,47,2,0,0,1,8335,36,1,2,0
315,315,31,2,1,1,1,2746,36,4,0,0
682,682,33,2,1,1,0,1478,15,5,1,1
656,656,41,1,1,1,2,888,12,1,2,0
331,331,30,2,1,2,0,1864,18,3,1,0
159,159,34,1,1,0,0,1898,6,5,1,1
671,671,31,2,1,2,0,5742,36,0,2,1
711,711,35,2,0,1,1,1198,6,3,1,0
538,538,42,3,0,1,1,7763,48,1,2,0
669,669,47,2,1,1,3,3017,30,5,1,1
443,443,41,1,1,1,0,719,12,3,2,0
493,493,38,2,1,0,2,368,6,5,0,1
81,81,47,2,1,3,0,1213,15,5,0,1
855,855,33,2,1,2,0,1474,24,1,2,1
957,957,37,1,1,1,2,1154,9,5,0,1
717,717,32,3,0,1,0,1505,18,5,0,1
570,570,23,1,2,1,1,3234,24,4,0,0
760,760,59,2,1,0,0,5045,15,1,1,1
994,994,50,2,1,0,0,2390,12,1,2,1
884,884,43,2,1,1,2,4057,24,4,0,0
993,993,30,3,1,1,1,3959,36,4,1,1
396,396,55,3,0,1,1,2578,12,4,0,1
7,7,35,3,2,1,2,6948,36,1,0,1
259,259,57,1,1,2,0,1154,11,5,0,1
179,179,65,2,1,1,1,571,21,1,1,1
512,512,26,2,2,1,3,2687,15,0,1,1
612,612,29,2,1,4,1,3357,21,5,2,1
909,909,33,1,1,0,2,3195,9,1,1,1
273,273,28,2,1,1,2,3060,48,5,1,0
387,387,40,3,1,1,2,7374,18,4,1,1
454,454,31,2,1,1,1,4817,24,1,1,0
412,412,42,3,1,1,0,2292,12,0,1,0
664,664,50,1,1,1,3,1047,6,3,2,1
826,826,33,2,2,1,1,3966,18,1,1,0
245,245,25,2,1,1,0,1258,24,0,0,1
863,863,32,1,1,4,0,4526,27,4,0,1
15,15,32,1,1,2,1,1282,24,5,2,0
616,616,27,3,0,0,2,9157,60,5,0,1
500,500,27,2,1,1,1,3123,24,1,0,0
720,720,34,3,1,1,3,1337,9,5,2,0
898,898,33,1,2,0,0,2186,15,4,1,1
510,510,26,2,1,1,1,759,12,1,0,0
375,375,37,2,2,1,1,7685,48,0,0,0
837,837,23,1,2,1,0,601,4,4,1,1
599,599,32,2,0,1,0,3863,24,0,0,1
973,973,36,2,2,1,1,7297,60,0,1,0
206,206,43,2,1,1,0,1935,12,4,0,1
148,148,28,2,1,1,1,5371,36,4,0,1
232,232,35,2,1,2,0,2141,12,5,1,1
49,49,28,2,1,2,0,2073,12,5,2,1
893,893,34,2,1,1,2,5800,36,1,2,1
806,806,26,1,1,1,2,590,6,5,0,1
954,954,29,2,1,1,1,1893,12,1,2,1
472,472,28,1,1,1,1,654,9,1,1,0
600,600,45,2,1,1,2,2329,7,5,0,1
221,221,23,2,2,0,1,1200,12,3,0,1
209,209,55,2,1,4,0,1413,12,1,0,1
764,764,27,2,1,2,0,2463,24,1,0,1
666,666,34,2,1,4,2,3496,30,4,1,1
531,531,28,2,2,2,2,2631,15,1,1,0
292,292,44,3,0,1,1,6419,24,1,1,1
487,487,62,2,0,1,0,3757,24,1,0,1
446,446,34,2,1,1,1,1842,36,1,2,0
555,555,22,2,1,1,2,1331,12,5,1,0
32,32,30,2,1,2,2,5866,18,1,2,1
452,452,34,2,1,1,0,2759,12,4,0,1
205,205,38,3,0,1,1,10623,30,1,2,1
51,51,30,3,1,1,2,5965,27,1,1,1
660,660,23,2,2,1,3,1297,12,5,0,1
661,661,23,2,1,0,1,900,12,1,0,0
1,1,22,2,1,1,2,5951,48,5,2,0
777,777,25,2,1,1,1,3509,18,5,1,1
890,890,43,3,1,1,1,2442,27,0,1,1
968,968,29,2,2,0,0,7166,42,5,2,1
665,665,27,3,1,1,0,6314,24,7,2,1
215,215,39,1,1,0,2,932,6,3,2,1
473,473,36,3,1,0,0,1238,6,3,0,1
53,53,31,2,1,0,0,3378,18,1,1,1
94,94,54,2,1,4,2,1318,12,1,0,1
216,216,31,2,1,1,1,3104,18,0,2,1
520,520,44,2,0,1,0,5507,24,6,1,1
557,557,29,2,1,0,0,5003,21,1,0,0
607,607,50,2,0,2,2,2671,36,5,1,0
726,726,47,1,1,3,0,1316,15,5,0,1
246,246,52,2,1,1,0,717,12,5,1,1
755,755,32,2,2,0,1,1285,24,1,2,0
166,166,33,2,1,1,1,1131,18,4,1,0
585,585,20,2,2,1,1,2039,18,4,2,0
546,546,37,2,1,1,0,2022,24,1,2,1
183,183,50,2,1,4,0,3777,24,4,0,1
483,483,30,2,1,4,0,960,15,4,0,1
411,411,35,3,1,1,0,7253,33,1,1,1
282,282,49,1,1,0,3,1445,18,5,1,1
713,713,25,1,1,1,1,1138,9,5,0,1
496,496,29,3,2,2,2,9034,36,4,1,0
306,306,24,1,2,0,0,4811,30,1,1,1
424,424,25,2,1,0,2,2762,12,4,1,0
931,931,22,2,1,1,2,1670,9,5,0,0
976,976,64,2,1,1,2,753,6,5,1,1
103,103,35,2,2,1,2,1919,9,4,2,1
441,441,30,2,1,1,1,1620,12,4,1,1
318,318,32,2,1,1,0,701,12,3,1,1
831,831,23,2,2,1,1,1216,18,1,0,0
860,860,27,2,1,4,0,5804,24,1,2,1
431,431,29,3,1,1,2,11328,24,7,1,0
370,370,36,2,1,0,0,3079,36,1,0,1
550,550,23,2,1,0,0,996,12,6,1,1
790,790,39,2,1,1,2,1188,21,0,0,0
434,434,25,2,1,1,1,2136,9,4,2,1
199,199,40,3,1,1,2,4297,18,4,1,0
382,382,25,2,2,0,0,1283,22,1,2,1
336,336,23,1,1,1,2,2101,13,5,1,1
636,636,28,2,1,3,0,1376,24,5,2,1
891,891,46,2,1,1,0,1829,15,5,2,1
155,155,20,2,2,1,1,1282,12,4,1,0
55,55,26,1,1,0,0,783,6,1,1,1
946,946,30,2,0,3,1,3349,24,4,1,0
450,450,30,3,1,0,0,11054,36,1,1,1
476,476,24,2,1,3,0,2569,39,1,1,1
783,783,23,1,1,2,2,836,12,1,1,0
99,99,36,3,2,0,2,7057,20,1,1,1
401,401,28,2,1,0,2,1887,18,0,2,1
177,177,52,2,1,3,1,338,6,5,1,1
606,606,74,3,1,1,0,4526,24,0,1,1
611,611,48,1,0,2,3,1240,10,1,1,0
266,266,36,2,1,0,0,6304,36,0,1,1
235,235,30,3,1,1,1,1823,24,5,0,0
302,302,37,1,1,0,3,1344,24,1,0,0
649,649,40,1,2,1,1,684,12,3,0,0
972,972,29,0,2,1,1,1193,24,1,1,0
626,626,41,2,1,1,3,2116,6,4,0,1
225,225,27,2,1,1,0,2613,36,6,1,1
525,525,30,2,1,1,2,7966,26,1,2,1
753,753,25,2,1,1,0,5771,30,5,2,1
44,44,58,1,0,1,1,6143,48,1,2,0
667,667,27,2,1,1,0,3609,48,0,2,1
219,219,64,2,1,1,0,1364,10,1,0,1
839,839,46,2,1,1,0,2611,24,5,2,1
603,603,28,3,1,1,0,3349,36,4,1,0
460,460,37,2,1,1,1,3620,36,4,1,1
102,102,24,2,1,1,0,932,6,5,2,1
747,747,37,1,1,1,1,1274,12,1,1,0
284,284,37,2,1,2,2,3878,24,1,1,1
169,169,31,2,1,1,2,1935,24,0,1,0
856,856,40,2,1,0,0,894,10,3,0,1
655,655,22,2,0,1,1,3973,14,1,0,1
695,695,50,2,2,3,0,1236,6,1,1,1
